16.650.760-6;Ignacia María Quiroga Valenzuela;FEMENINO;1969/1/27;56;C;5928015;2.87
10.488.986-5;Daniela Paula Muñoz Rodríguez;FEMENINO;1989/12/26;36;E;4832251;4.69
19.275.194-5;;FEMENINO;1984/2/17;41;D;950966;2.88
9.849.163-2;Javier Francisco Rodríguez Saavedra;MASCULINO;1980/1/7;45;E;9895930;8.77
20.773.571-0;Daniela María Díaz Rodríguez;FEMENINO;1978/7/13;47;E;962280;2.29
9.765.444-6;;MASCULINO;1988/3/17;37;E;6223489;9.96
19.618.503-4;Andrés Pedro Vergara Díaz;MASCULINO;1960/10/18;65;E;2138696;4.69
15.194.257-9;Constanza Blanca Muñoz Rodríguez;FEMENINO;1961/3/12;64;E;1446929;5.35
12.393.255-6;Pablo Ramón Rodríguez Ruiz;MASCULINO;1981/4/26;44;E;7739713;3.2
9.142.517-1;Paula Daniela Rodríguez Campos;FEMENINO;1997/2/9;28;B;320457;7.66
12.950.965-1;Alejandro Rodrigo Vergara Saavedra;MASCULINO;1964/8/5;61;C;7383191;5.98
4.379.452-1;Javier Ignacio Rojas Campos;MASCULINO;1999/8/6;26;D;710113;4.92
16.740.694-0;Andrea Constanza Valenzuela López;FEMENINO;1999/10/8;26;C;9178711;7.78
8.735.417-6;Isidora Blanca Quiroga Ruiz;FEMENINO;1986/4/10;39;A;23324;3.98
9.948.150-0;Pedro Pablo Castro Castro;MASCULINO;1996/10/22;29;C;7170662;2.85
9.628.126-1;;MASCULINO;1996/1/28;29;C;8308110;5.83
17.081.567-0;Vicente Ramón Vergara Valenzuela;MASCULINO;1993/3/23;32;B;6499509;9.46
11.459.413-0;Andrea Paula Vergara Rodríguez;FEMENINO;1967/9/11;58;B;8356461;7.22
7.905.825-0;Francisco Rodrigo González Quiroga;MASCULINO;1985/5/24;40;D;7069528;3.84
16.849.595-2;Andrés Pablo López Robles;MASCULINO;2000/8/18;25;D;6962935;3.47
12.013.952-9;Pablo Gabriel Valenzuela Castro;MASCULINO;1990/6/24;35;D;6525017;8.86
4.172.993-7;;MASCULINO;1986/1/29;39;D;3072012;1.56
21.041.825-6;Andrés Gabriel Rojas López;MASCULINO;1984/11/3;41;E;5379291;7.25
18.684.046-6;Pamela Javiera Campos Rojas;FEMENINO;1988/1/27;37;E;1960846;9.62
10.125.959-1;Francisco Ignacio Campos Vergara;MASCULINO;1979/12/10;46;E;366872;9.46
11.402.240-6;Ignacia Daniela Muñoz Rodríguez;FEMENINO;1981/9/10;44;A;6899299;8.6
6.234.715-7;Daniela Daniela Campos Ruiz;FEMENINO;1996/1/26;29;A;4443839;6.36
4.604.820-6;;MASCULINO;1984/7/9;41;C;62160;1.33
5.707.066-0;Juan Rodrigo Vergara Rodríguez;MASCULINO;1968/10/18;57;E;2947771;3.72
7.543.05-8;Paula Cecilia Robles Robles;FEMENINO;1971/1/11;54;D;443315;4.53
16.067.449-1;Pedro Vicente Díaz Quiroga;MASCULINO;1991/4/23;34;D;7647078;6.48
15.666.393-0;Javiera Javiera Díaz López;FEMENINO;1985/12/17;40;C;5675792;8.17
20.159.754-8;Isidora Ignacia Díaz Muñoz;FEMENINO;1980/6/4;45;C;9417072;5.7
13.739.083-9;Felipe Francisco Campos Rodríguez;MASCULINO;1980/4/25;45;D;6745366;5.34
17.899.387-2;Pedro Bernardo Rodríguez Muñoz;MASCULINO;1966/2/5;59;E;1878406;8.96
4.039.177-9;Vicente Juan Quiroga Quiroga;MASCULINO;1997/9/3;28;A;2624354;0.1
15.940.926-0;Bernardo Ramón Ruiz Rodríguez;MASCULINO;1981/1/13;44;A;1069757;6.88
19.347.054-0;Juan Vicente González Robles;MASCULINO;1969/1/16;56;B;1572267;4.29
17.163.817-1;Andrés Vicente Valenzuela Rodríguez;MASCULINO;1982/9/18;43;B;7062968;3.75
9.146.874-2;María Blanca Campos González;FEMENINO;1968/7/5;57;B;6115155;0.57
13.046.03-4;Gabriel Alejandro Castro Castro;MASCULINO;1968/10/0;57;C;4216026;3.36
5.743.051-5;Constanza Isidora Castro Saavedra;FEMENINO;1977/4/22;48;A;446565;0.86
12.694.996-9;Bernardo Felipe Díaz González;MASCULINO;1995/8/29;30;E;5202981;9.68
17.180.929-4;;FEMENINO;1977/12/23;48;D;1023062;5.73
8.817.519-8;Ignacio Andrés Rodríguez Díaz;MASCULINO;1986/12/8;39;A;8765622;4.71
7.743.474-7;Isabel Isidora Robles González;FEMENINO;1973/1/26;52;D;2688816;5.23
9.559.936-5;Isabel Constanza Campos Castro;FEMENINO;1991/11/18;34;E;3859494;2.63
13.525.063-7;;FEMENINO;1980/9/2;45;E;4803880;7.02
4.544.833-0;Daniela Pamela Castro Campos;FEMENINO;1989/3/13;36;C;5801715;8.36
19.319.154-0;Javier Rodrigo Robles Rojas;MASCULINO;1983/2/3;42;E;62850;8.74
4.335.478-5;Pablo Pablo Rodríguez López;MASCULINO;2000/6/25;25;B;9578313;4.3
20.239.534-1;Isidora Blanca Valenzuela López;FEMENINO;1985/5/4;40;B;3744605;1.42
18.630.747-0;Valeria Javiera González Marín;FEMENINO;1978/9/2;47;A;4071969;2.15
10.485.112-2;Juan Andrés Saavedra Rojas;MASCULINO;1979/8/28;46;B;8860314;0.53
15.914.026-4;María Pamela Saavedra Díaz;FEMENINO;1984/2/12;41;E;6443833;8.82
7.852.929-8;María Pamela Castro Valenzuela;FEMENINO;1962/4/2;63;B;1506498;3.51
11.979.840-4;Ignacia Isidora Robles Rodríguez;FEMENINO;1961/12/10;64;E;7060586;1.89
11.620.281-7;Gabriel Pablo Campos Saavedra;MASCULINO;1999/10/4;26;E;8119276;8.63
20.520.681-2;Pablo Bernardo Vergara Quiroga;MASCULINO;1997/10/23;28;B;718933;9.36
12.311.061-3;Blanca Victoria González Robles;FEMENINO;1985/12/26;40;B;2562094;3.19
21.158.813-8;Bernardo Alejandro Díaz Marín;MASCULINO;1961/8/2;64;A;3070042;5.28
15.118.751-6;Daniela Pamela Rodríguez Rojas;FEMENINO;1960/11/10;65;A;3717760;8.11
11.140.793-0;Pamela Ignacia Díaz Rodríguez;FEMENINO;1964/8/11;61;D;480874;1.61
21.085.431-4;Juan Pedro Castro Muñoz;MASCULINO;1969/3/0;56;D;520845;1.5
18.09.093-2;Constanza Blanca Vergara Rojas;FEMENINO;1999/4/3;26;B;3567888;3.22
5.257.692-0;Javier Gabriel Quiroga Saavedra;MASCULINO;1997/10/20;28;D;4814736;6.61
7.386.773-8;María Isidora Robles Campos;FEMENINO;1985/5/29;40;E;2807349;1.82
10.332.341-6;Ignacio Juan Castro Rodríguez;MASCULINO;1998/5/21;27;B;1388148;4.72
16.536.207-4;Pablo Rodrigo López González;MASCULINO;1986/6/30;39;C;6828953;8.98
19.024.170-3;Victoria Valeria Vergara Campos;FEMENINO;1972/9/28;53;A;3103179;3.35
20.149.039-7;Constanza Isidora Vergara Marín;FEMENINO;1963/9/2;62;A;1754186;9.82
15.385.614-4;Alejandro Felipe Valenzuela González;MASCULINO;1994/5/28;31;E;3661112;9.39
17.615.926-0;Ignacia Valeria Marín Robles;FEMENINO;1999/6/10;26;B;7260138;7.08
18.973.784-2;Rodrigo Ramón Saavedra Robles;MASCULINO;1995/9/23;30;B;2832833;3.92
